_id,day,gtu_period,gtu_qty,cbm_qty,gtu_charged_qty,cbm_charged_qty,gtu_out_qty,cbm_out_qty,gtu_charged_out_qty,cbm_charged_out_qty,gtu_rev,base_rev,gtu_out_rev,gtu_om_rev,base_rev_out,base_om_rev
"""5d10f0c04812d532fb443892""",201902,201904,143516,1682150,122368,1433952,143667,1683658,120555,1412437,905635835.49,10722606072.669992,776602831.4900004,129033004,9154551894.669989,1568054178
"""5d10f6cf4812d533f876bc12""",201901,201904,135875,1598879,123431,1451001,135941,1599452,121559,1428246,1021691189.5960006,12126932123.275967,891323966.5960004,130367223,10538766908.275967,1588165215
"""5d10ff944812d534b4632482""",201904,201904,131909,1546314,110978,1302779,131490,1540879,109199,1281867,949066019.7899997,11264550642.307983,794299687.79,156398191,9387689845.307995,1876860797
"""5d12161c4812d5511927f082""",201812,201904,129082,1524861,122168,1443166,128539,1519110,120009,1417563,1153222030.2400014,13767191001.014034,977623602.2400005,175598428,11604616540.014015,2162574461
"""5d1223034812d5525a170db2""",201811,201904,121947,1440679,114347,1351843,121510,1435289,112744,1333285,1070938147.3460003,12814638656.53776,908230596.3460008,162707551,10805416752.537785,2009221904
"""5d13a6134812d5799f122f42""",20190401,201904,144501,1693181,,,,,,,993052650.550001,11728861027.500053,,,9880175535.500004,
"""5d14e6c74812d52036412f92""",201905,201904,,,,,,,,,961983889.2799999,11389659377.476025,809691827.2800004,,9537019331.47602,
"""5d28a6804812d5b97b0a6f92""",201906,201907,,,,,,,,,1127758095.670001,13635934310.671835,964011396.6700006,,11683348299.671873,
"""5d28a7194812d5b954250f62""",20190701,201907,144500,1751026,,,,,,,1127936667.410001,13638683698.631838,,,11686097687.631872,
"""5d28a7904812d5b991700bd2""",201905,201907,,,,,,,,,1098513267.4600008,13288815249.706032,935738129.4600011,,11305460503.706015,
"""5d28a8b04812d5b9b70af5e2""",201904,201907,,,,,,,,,1054112322.6900009,12819448675.99796,891727412.690001,,10840607145.99798,
"""5d28a9c34812d5b9ca2de3d2""",201903,201907,,,,,,,,,1033335584.9100004,12597190158.776047,876673830.9100001,,10695743258.776041,
"""5d7b78dc4812d56e815afe02""",201907,201907,,,,,,,,,1163224471.7100003,14089132227.870045,992466331.7100003,,11996896966.870037,
"""5d7b7e874812d56ef75f76a2""",201908,201907,,,,,,,,,1174492414.9000008,14310740406.761986,993041176.9000003,,12109825411.761978,
"""5dde58df0147e261b4626322""",20191001,201910,144501,1837252,,,,,,,1124502412.0000007,14466685786.429989,,,12390648330.429989,
"""5dde60c7a23b620425603192""",201910,201910,,,,,,,,,1164912057.9400015,14971334824.98608,1000424904.940001,,12829283345.986073,
"""5dde765d162ab0274066ea32""",201909,201910,,,,,,,,,1124291767.3500006,14464410275.329992,967843616.3500006,,12388372819.329988,
"""5dde7792178c4c65ea640412""",201908,201910,,,,,,,,,1157212588.1459992,14903294230.353996,985418628.1459999,,12663672161.354029,
"""5dde78b7e0ea027011088a32""",201907,201910,,,,,,,,,1086563530.7259996,14035975352.96004,928974386.7259997,,11955530359.96003,
"""5dde79dd61079608065e5292""",201906,201910,,,,,,,,,995184618.6639992,12853878689.731876,849639383.6639987,,10947863435.731915,
"""5e05cfadce415954aa346472""",201911,201910,,,,,,,,,1011106771.21,13046512368.87798,869184647.21,,11166736887.878014,
"""5e1c47c22a24572ba76a53e2""",201912,201910,,,,,,,,,1004574721.8200011,13003719784.001986,863724392.8200011,,11131820985.001995,
"""5e4ffc7f276ca36120613ad2""",201912,202001,,,,,,,,,1057109372.8600004,14334344747.984009,913865444.8600001,,12371926276.983997,
"""5e4ffdd027974039ac2d9ee2""",201911,202001,,,,,,,,,1033600637.7720003,13960565320.001976,889869704.7720002,,12023943028.001993,
"""5e4fff06f564c274406c5072""",201910,202001,,,,,,,,,1134239499.2199996,15458129311.998072,974616894.22,,13288880228.998062,
"""5e500053c1447f2cbe06c9b2""",201909,202001,,,,,,,,,1035238881.2499995,14149001507.221992,884439016.25,,12088911473.221985,
"""5e57aa8f0851b63a28580cf2""",202001,202001,,,,,,,,,920784013.1800009,12507290197.57992,800048854.1800007,,10863248781.579933,
"""5e6770db7973a5144409fab2""",202002,202001,,,,,,,,,839099406.1200001,11345744147.060013,714320524.1199996,,9650036092.059986,
